"職缺內容","公司名稱","產業別","工作內容","地區","薪資","網址"
"資料工程師 / 數據服務架構師","玉山綜合證券股份有限公司","證券及期貨業","1. 資料倉儲管理與數據中心建置與管理
2. 負責資料蒐集及處理各項數據、設計資料模型和ETL 流程設計
3. 設計與開發自動化流程
4. 進行數據應用與串接之需求訪談
5. 營運事項之主協辦及其他交辦事項
","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/889qn?jobsource=n_my104_search"")"
"ETL軟體工程師","雙子數位科技有限公司","電腦軟體服務業","嗨～～哈囉～

你是本公司要找的ETL資料倉儲高手嗎?
就是你！別懷疑！！徵的就是你～
本公司需要有在ETL數據實務上2-3年以上開發經驗的你唷～

此職缺的職務內容有：

• 收集需求和業務流程知識，以便將資料轉換為方式，以滿足最終用戶的需求。","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/758vi?jobsource=n_my104_search"")"
"【資訊部】資料工程師(Data Engineer)","台灣知識庫股份有限公司","數位內容產業","1.負責數據管理，ETL流程規劃，以及資料分析所需之數據源預處理。
2.處理及挑戰Data相關工程問題，包括建立data pipeline、探勘收集處理。
3.管理數據庫（資料表日常維護及更新）、資料提取、資料倉儲。
4.建立自動化工具和腳本，簡","台北市中正區","月薪40,000~45,000元","=HYPERLINK(""http:////www.104.com.tw/job/7ck9p?jobsource=n_my104_search"")"
"資料工程師","翰霖科技資訊股份有限公司","電腦軟體服務業","【必要技能】

☑️ 負責TeraData資料庫遷移
☑️ 具備系統設計經驗3年以上經驗
☑️ 具備系統流程整合能力 MS Synapse、SQL server procedure 
☑️ 具備1年系統流程整合能力Azure資料管線開發經驗
☑️","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8csqc?jobsource=n_my104_search"")"
"資料工程專業人員(資料工程部)","國泰綜合證券股份有限公司","證券及期貨業","實務應用
5. 協助企劃、行銷團隊進行數據分析

【需求條件】
1. 資訊工程、資訊管理、財稅金融相關科系畢或具備程式開發工作經驗
2. 具T-SQL語法及Stored Procedure開發經驗 
3. 有開發C#或ASP.Net、Python等","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/6vb99?jobsource=n_my104_search"")"
"資料工程師 Data Engineer","果實夥伴股份有限公司","網際網路相關業","【工作內容 】
-  ETL 之開發、處理(資料清理、儲存、分析)與監測
- 開發與設計專案所需 API 服務並與後端工程師合作，完成系統產品化程序
- 依據不同業務需求，完成建置/維運/更新各式 Data infra 的需求
- 與數據產品管理","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7dpwf?jobsource=n_my104_search"")"
"數據工程師","中化控股_中國化學製藥股份有限公司","藥品製造業","1.數據處理 - 建立資料倉儲、資料湖，ETL 工具與流程 
2.數據串接 - 協助串接內外部資料，應用資料 
3.系統優化 - 程式碼與文件維護、效能優化
~熟悉視覺化軟體如 Tableau, Power BI 者加分~

","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a8zz?jobsource=n_my104_search"")"
"資料工程師","數解人意科技股份有限公司","電腦軟體服務業","及合作夥伴多元，包括媒體、媒體代理商、整合行銷、公關、品牌、電子商務、影視產業、政府單位、學術機構及跨國企業等。


▋職務內容
1. 讀取與寫入自建之全文搜尋引擎、SQL 資料庫
2. 使用 ETL 管理工具如 Airflow，開發 ETL","台北市中山區","月薪50,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/85lh8?jobsource=n_my104_search"")"
"網站管理駐點服務工程師","萬維科技股份有限公司","電腦軟體服務業","1. 接聽客服電話
2. 協助文章與資料上稿
3. 網站操作諮詢與協助
4. 定期檢查網站內容與修訂錯誤
5. 系統上版管制與測試
6. 網路相關設定調整與問題排除
7. 系統軟體相關測試
8. 撰寫工作日誌與系統月報
9. 其他業主與專案經理交辦事項","台北市中正區","月薪35,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/7gpwk?jobsource=hotjob_chr"")"
"【擴編】資訊工程師/專案副理","CoCo都可_億可國際飲食股份有限公司","飲料店業","1. 總部外部及內部資訊系統 (ITR/ERP/WMS)、管理報表、及電子表單功能開發測試及優化維護
2. 網站系統管理及效能調校、資安防範議題之優化調整、檢測工具之導入及使用
3. 相關資訊系統、OA設備管理、系統網路維運相關庶務工作","台北市士林區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8bqsj?jobsource=hotjob_chr"")"
